substrate,tf,alpha
AAC1,ASH1,0.013480
AAC1,FHL1,0.030949
AAC1,MSN2,0.059684
AAC1,SOK2,0.223687
AAD10,SOK2,0.198444
AAD10,STE12,0.183809
AAD16,YAP1,0.158188
AAD4,YAP1,0.103526
AAT2,ABF1,0.970622
AAT2,GCN4,0.659769
ABF2,MCM1,2.069067
ABF2,SWI4,1.282418
ABP1,STE12,3.802802
ABP1,TYE7,2.018161
ABP140,YOX1,1.181444
ACB1,ABF1,7.363148
ACB1,MSN2,4.319183
ACB1,STE12,11.671366
ACC1,INO4,9.360671
ACC1,MSN2,1.034527
ACE2,FKH2,0.560648
ACE2,INO4,0.358214
ACH1,FLO8,0.535625
ACH1,MSN2,0.521647
ACH1,SOK2,0.156736
ACM1,MBP1,0.082695
ACM1,SWI4,0.181609
ACM1,YHP1,0.070473
ACO1,CIN5,0.615748
ACO1,YAP1,2.561755
ACO2,GCN4,0.072730
ACP1,ABF1,3.374446
ACP1,MSN2,3.274328
ACS1,ABF1,0.052996
ACS1,RAP1,0.120410
ACS1,SOK2,0.091731
ACS1,STE12,0.228170
ACS2,HAP1,8.052725
ACT1,REB1,38.015196
ADA2,FHL1,0.774774
ADA2,IFH1,23.094620
ADA2,STE12,24.763127
ADA2,TEC1,3.152757
ADD37,STE12,0.521122
ADD66,GCN4,0.064241
ADE1,BAS1,3.579978
ADE1,PHO2,0.764238
ADE1,TEC1,0.831515
ADE13,BAS1,2.734170
ADE16,BAS1,1.796693
ADE16,CIN5,1.015820
ADE16,RAP1,2.118375
ADE17,BAS1,0.258179
ADE17,YAP1,0.441254
ADE2,AFT1,0.605489
ADE3,GCN4,0.276611
ADE3,MET32,0.678697
ADE4,BAS1,0.578668
ADE4,PHO2,0.026347
ADE4,YRM1,2.051225
ADE5_7,BAS1,-0.313212
ADE5_7,GCN4,0.341161
ADE6,BAS1,10.830657
ADE8,ABF1,1.110276
ADE8,BAS1,0.969782
ADE8,RAP1,0.696929
ADH1,ABF1,31.519842
ADH1,GCR1,8.276982
ADH1,GCR2,50.628316
ADH3,ABF1,4.174357
ADH3,CRZ1,5.052081
ADH4,ABF1,0.302633
ADH4,TYE7,0.225281
ADH5,CIN5,0.437263
ADH5,GCN4,0.023406
ADH6,YAP1,4.332530
ADI1,MET32,0.408256
ADI1,MSN2,0.130832
ADI1,SOK2,0.725362
ADR1,FHL1,0.194621
ADR1,MSN2,0.158319
ADR1,STE12,0.231753
ADY3,YRM1,0.359799
ADY4,STE12,0.287312
ADY4,TEC1,0.090314
AEP3,HSF1,0.191758
AFG1,YAP1,0.672740
AFG2,ACE2,0.420660
AFG2,BAS1,0.267023
AFG2,NRG1,1.343711
AFG3,SOK2,1.538351
AFR1,RLM1,0.542956
AFR1,STE12,0.639109
AFT1,AFT2,4.328765
AFT2,YAP1,0.111506
AGA1,MCM1,0.863949
AGA1,MOT3,0.438704
AGA1,STE12,1.396336
AGA1,SWI4,0.626355
AGA2,STE12,1.808205
AGA2,TEC1,0.506118
AGP1,ASH1,0.051926
AGP1,DAL81,0.951875
AHA1,GCN4,0.244770
AHA1,STE12,0.188447
AHC1,RAP1,0.675374
AHC1,SOK2,0.241865
AHC2,RPN4,1.829166
AHP1,HSF1,40.820076
AHP1,YAP1,37.494533
AIF1,YAP1,0.211062
AIM10,STE12,0.568351
AIM11,MSN2,0.597153
AIM13,YRM1,1.064298
AIM17,CAD1,0.257213
AIM17,MSN2,0.025213
AIM17,OAF1,0.070877
AIM17,PDR1,0.287160
AIM18,STE12,0.431802
AIM19,CBF1,1.229887
AIM2,SOK2,1.924756
AIM20,ASH1,0.097950
AIM21,SWI5,1.837184
AIM22,STE12,0.691347
AIM29,CIN5,0.474404
AIM29,MSN2,1.058995
AIM29,STE12,1.362758
AIM37,SOK2,0.626786
AIM44,ACE2,1.749130
AIM46,PUT3,2.978925
AIM7,CIN5,1.986208
AIM7,ZAP1,3.470086
AIM9,ACE2,1.528883
AIP1,RAP1,1.672544
AIR1,STE12,1.195765
AKR1,AFT1,2.468772
ALD2,STE12,0.918965
ALD3,CAD1,0.461778
ALD3,MSN2,0.034616
ALD4,PDR1,0.388294
ALD4,RAP1,1.222404
ALD5,CIN5,1.284211
ALD5,GCN4,0.101511
ALD5,PHO4,0.743151
ALD5,SOK2,0.567218
ALD5,STE12,1.067633
ALD5,YAP1,0.170501
ALD6,GCN4,2.648375
ALD6,SOK2,2.211650
ALD6,YAP1,-13.279726
ALF1,ABF1,0.233232
ALF1,STE12,0.563843
ALG13,RPN4,0.527036
ALG13,STE12,0.090627
ALG14,ASH1,0.110047
ALG14,CIN5,0.503546
ALG14,MBP1,0.210447
ALG3,RAP1,1.157720
ALG5,RAP1,1.126508
ALO1,MSN2,6.656892
ALR2,STE12,0.444866
ALT1,CIN5,3.172241
ALT2,ADR1,1.303049
ALT2,MSN2,1.548692
ALY2,TEC1,0.546858
AMN1,ACE2,1.916158
ANB1,MOT3,0.235612
ANB1,STE12,0.050695
ANP1,ABF1,1.438880
ANT1,ABF1,1.225624
APA1,HSF1,1.254165
APA2,STE12,0.729571
APC2,BAS1,0.473944
APD1,MSN2,3.335156
APE2,RAP1,0.888107
APE2,STE12,1.294545
APE2,TEC1,0.017851
APJ1,MSN2,0.433069
APL2,ABF1,1.344917
APL3,STE12,0.472076
APL3,TEC1,0.125120
APL4,UME6,1.378372
APL5,AFT1,1.054549
APP1,CBF1,4.086455
APT2,ABF1,0.102882
APT2,TUP1,0.790785
AQR1,GCN4,0.047871
AQR1,NRG1,0.036469
AQR1,SOK2,0.388774
ARB1,HSF1,5.301673
ARC19,PDR3,7.960064
ARD1,SOK2,2.365736
ARE2,RAP1,0.028918
ARE2,TEC1,0.373750
ARE2,YAP1,0.385239
ARF1,RAP1,14.293785
ARF2,MSN2,18.947213
ARF3,MCM1,0.747704
ARG1,ARG81,2.571726
ARG1,GCN4,0.350564
ARG2,GCN4,0.030553
ARG3,ASH1,0.002724
ARG3,GCN4,0.042474
ARG4,GCN4,0.270546
ARG5_6,GCN4,0.123318
ARG5_6,LEU3,0.137010
ARG5_6,YAP1,0.057259
ARG7,GCN4,0.166455
ARG8,GCN4,0.101112
ARI1,CIN5,0.873404
ARI1,SOK2,1.240943
ARI1,YOX1,0.083563
ARN1,AFT1,0.511983
ARN2,AFT1,0.598084
ARO1,GCN4,0.181724
ARO1,RPN4,0.264358
ARO2,GCN4,0.522366
ARO3,GCN4,0.077735
ARO4,GCN4,0.617252
ARO4,SOK2,0.872502
ARO7,DIG1,1.555724
ARO7,SOK2,1.302019
ARO8,GCN4,0.464968
ART10,STE12,0.746552
ASC1,IFH1,29.139302
ASC1,RAP1,25.049067
ASE1,ABF1,0.307423
ASE1,MCM1,0.060102
ASE1,YAP1,0.003745
ASF1,MSN2,2.150948
ASF1,YHP1,0.038701
ASF2,GCN4,0.030548
ASG7,STE12,2.209353
ASH1,ACE2,2.462974
ASH1,MBP1,-0.019042
ASH1,SOK2,-0.701784
ASK1,CIN5,0.345660
ASK1,OAF1,1.217739
ASK1,OAF3,0.549004
ASK10,RAP1,0.931835
ASM4,STE12,1.219114
ASN1,GCN4,0.331879
ASN2,GCN4,0.966412
ASP1,ABF1,4.379979
ATC1,GLN3,1.382683
ATF1,RAP1,0.170608
ATF1,SPT23,0.302975
ATF1,SWI4,0.243785
ATF2,FHL1,0.761400
ATF2,SOK2,0.515403
ATG11,SOK2,0.342742
ATG11,STE12,0.395276
ATG13,GCN4,0.022366
ATG19,HSF1,0.179997
ATG19,RPN4,0.213904
ATG22,YRM1,0.647052
ATG26,RAP1,0.744063
ATG33,GCN4,0.065775
ATG34,STE12,0.313427
ATG8,UME6,0.349281
ATH1,GCN4,0.013615
ATH1,STE12,0.164153
ATM1,CBF1,3.880220
ATO3,ABF1,1.149606
ATO3,SOK2,1.767449
ATO3,STE12,0.044771
ATP1,HAP2,11.398078
ATP14,HAP2,0.244277
ATP14,SOK2,0.971239
ATP15,HAP2,7.625235
ATP16,CIN5,2.163285
ATP16,MBP1,0.928704
ATP16,PHO4,1.552456
ATP17,ARO80,2.522856
ATP18,RDS2,6.985388
ATP2,HAP2,11.070896
ATP2,RDS2,2.915719
ATP20,HAP2,2.493218
ATP25,BAS1,0.277282
ATP25,STE12,0.328105
ATP3,HAP5,3.539368
ATP7,GCN4,0.164539
ATP7,RAP1,0.102406
ATR1,GCN4,0.078966
ATR1,PHD1,0.424633
ATR1,YAP1,-0.267093
ATX1,CBF1,2.767233
ATX1,PUT3,1.457445
AUS1,STE12,0.233305
AUS1,SUM1,0.120933
AVL9,STE12,0.227469
AVL9,UME6,0.778882
AVT1,CIN5,5.393770
AVT4,RAP1,0.808142
AVT6,RAP1,0.416491
AVT6,STE12,0.533438
AVT7,YRM1,3.237655
AXL2,STE12,0.264936
AXL2,TEC1,0.594014
AXL2,YOX1,-0.086342
BAP2,GCN4,0.290868
BAP2,SOK2,0.646231
BAP3,ABF1,1.503119
BAP3,RAP1,1.247869
BAP3,STP1,0.863927
BAR1,MCM1,0.295601
BAR1,STE12,0.353303
BAR1,SWI5,0.691390
BAR1,TEC1,0.373397
BAT1,PHD1,12.568450
BAT2,ABF1,1.293000
BAT2,ACE2,0.996579
BAT2,CIN5,1.824659
BAT2,SKN7,0.589117
BBC1,RAP1,1.670553
BBP1,STE12,0.609382
BCH2,STE12,0.929665
BCP1,YAP1,0.874091
BCY1,RAP1,1.047048
BCY1,UME6,0.664078
BDF1,CIN5,2.024793
BDF2,ABF1,2.192833
BDH1,ABF1,0.994150
BDH1,BAS1,1.002675
BDH1,MSN2,0.504724
BDH2,ABF1,0.061385
BDH2,MET32,0.138737
BDH2,PDR1,0.077260
BDH2,STE12,0.123219
BDS1,HCM1,0.319496
BDS1,MET32,0.452255
BDS1,MET4,0.209717
BEM2,LEU3,1.103646
BEM2,STE12,1.116102
BEM2,SWI5,1.219190
BEM2,TEC1,0.746170
BEM4,CIN5,0.914169
BER1,SKO1,1.492821
BIO2,SOK2,1.449171
BIR1,ABF1,0.575369
BLI1,IXR1,0.996792
BMH1,GCR1,23.424912
BMH2,RAP1,7.321004
BNA1,GCN4,0.051315
BNA1,SUM1,0.362422
BNA1,TEC1,0.514149
BNA2,SUM1,0.168444
BNA3,FLO8,0.652543
BNA3,MCM1,0.260528
BNA3,MET31,0.427755
BNA3,MET32,0.503577
BNA4,YHP1,0.721550
BNA5,ABF1,0.173881
BNA5,RAP1,0.484653
BNR1,STE12,0.958789
BNS1,CIN5,0.204828
BNS1,STE12,0.450692
BOI1,STE12,0.967011
BOS1,YRM1,1.594510
BPH1,YOX1,0.332453
BPT1,TEC1,1.284896
BRX1,ABF1,1.747405
BRX1,DAL82,2.265289
BSC2,HSF1,0.523982
BSC6,RAP1,0.494884
BSP1,PDR1,0.423624
BUB2,FHL1,0.561870
BUB3,HSF1,0.244703
BUD19,STE12,0.391719
BUD20,RAP1,1.225164
BUD20,YAP1,0.881493
BUD20,YOX1,0.211379
BUD21,ABF1,1.140050
BUD22,RAP1,0.981362
BUD26,STE12,0.342506
BUD27,ABF1,0.303435
BUD27,PDR1,0.000971
BUD27,RAP1,0.197529
BUD27,REB1,0.154484
BUD3,YAP1,0.487786
BUD4,ASH1,-0.070247
BUD4,STE12,2.523856
BUD7,CBF1,1.607125
BUD7,TEC1,0.238422
BUD9,ACE2,1.157913
BUD9,FKH1,-0.168358
BUD9,MBP1,-0.114487
BUD9,SOK2,-0.014935
BUR6,MCM1,2.646903
BUR6,MSN2,1.533399
BUR6,YOX1,0.491753
BYE1,ABF1,0.378417
CAB2,MSN2,1.808259
CAB4,STB1,1.265503
CAF120,RAP1,0.003640
CAF120,STE12,0.475554
CAF16,GCN4,0.062990
CAF20,SKN7,5.576242
CAF40,RAP1,0.294479
CAF40,STE12,0.769089
CAJ1,CIN5,4.412934
CAM1,PHD1,15.044967
CAN1,GCN4,0.045017
CAP1,MSS11,2.736365
CAP1,PDR3,0.180931
CAP1,SKO1,2.820106
CAR1,GCN4,0.334737
CAR1,MCM1,-0.765722
CAR1,SWI4,0.306705
CAR2,ARG81,0.137097
CAR2,MCM1,0.130041
CAR2,RAP1,1.219404
CAT2,UME6,0.460180
CBF1,PHO4,0.500273
CBF2,CIN5,0.501742
CBF2,STE12,0.556637
CBP3,MSN2,0.861539
CBP3,SKO1,0.693336
CCA1,STE12,1.253709
CCC2,AFT1,0.276381
CCC2,RPN4,0.401806
CCE1,DAL81,0.542333
CCH1,RAP1,0.398973
CCH1,STE12,0.364562
CCL1,STE12,0.501709
CCM1,FHL1,1.080629
CCP1,YAP1,1.806315
CCS1,YAP1,2.121342
CCT4,HIR2,5.227584
CCW12,FLO8,8.490079
CCW12,RAP1,46.367015
CCW12,SOK2,24.704338
CCW12,TEC1,31.883587
CCW12,YAP1,30.096218
CCW14,ABF1,6.078372
CCW14,RAP1,2.705141
CCW14,RLM1,2.188703
CCW14,YRM1,0.076198
CDC14,STE12,1.431745
CDC16,ABF1,0.368137
CDC16,STE12,0.293066
CDC19,ABF1,17.948166
CDC19,GCR1,13.638599
CDC19,GCR2,28.521711
CDC19,MSN2,3.455520
CDC20,ABF1,0.235147
CDC20,PDR1,0.561193
CDC20,YOX1,-0.024025
CDC21,MBP1,0.141507
CDC21,SWI4,0.292168
CDC24,STE12,1.330368
CDC24,TEC1,0.298156
CDC26,ACE2,0.215385
CDC26,MSN2,0.560783
CDC3,YRM1,2.014219
CDC34,ASH1,-0.023622
CDC34,STE12,0.932825
CDC39,RPN4,0.443914
CDC42,ABF1,2.801293
CDC45,MBP1,0.017079
CDC45,SWI6,0.256072
CDC48,MSN2,4.295510
CDC48,RAP1,8.090350
CDC5,MCM1,0.957906
CDC5,YOX1,0.183957
CDC53,MSN2,2.194712
CDC6,GCR2,0.187999
CDC6,MBP1,0.069578
CDC6,TEC1,-0.007412
CDC60,SOK2,2.578736
CDC60,UME6,2.944777
CDC7,ABF1,0.257313
CDS1,ABF1,0.288953
CDS1,INO4,0.874701
CEM1,BAS1,0.243121
CEM1,YAP1,0.061289
CEX1,RAP1,0.658907
CFD1,ABF1,0.579912
CFT1,RAP1,0.726150
CFT1,STE12,0.092991
CHA1,ABF1,6.750694
CHA1,PHO4,0.327012
CHC1,MSN2,4.915974
CHO1,INO4,6.245719
CHO2,ABF1,2.535547
CHO2,HSF1,2.971041
CHO2,RAP1,2.497807
CHS1,SOK2,0.244668
CHS1,SWI4,0.212605
CHS1,SWI5,3.064137
CHS2,FKH2,1.371452
CHS3,STE12,3.013930
CHS5,ABF1,3.210722
CHS7,RAP1,0.506597
CHS7,STE12,1.746777
CHS7,TEC1,0.614864
CIC1,PHO4,4.222263
CIK1,ABF1,0.313052
CIK1,STE12,0.560881
CIN1,SKN7,0.282273
CIN1,STE12,0.053350
CIN1,TEC1,0.051278
CIN2,MBP1,0.016331
CIN2,STE12,0.435719
CIN4,GCN4,0.037444
CIN5,YAP1,0.152853
CIN8,HCM1,0.521666
CIS3,PHD1,12.405516
CIS3,RAP1,0.110133
CIS3,SWI6,18.037413
CIS3,TEC1,2.035477
CIT1,CBF1,0.409475
CIT1,HAP3,2.851043
CIT1,MSN2,0.206903
CIT1,RTG3,1.636457
CIT2,MSN2,0.592852
CIT2,RPN4,2.007468
CKI1,INO4,0.455695
CKS1,GCR2,0.439378
CKS1,MSN2,0.288949
CLA4,TEC1,-0.247769
CLA4,YRM1,1.789212
CLB1,RAP1,0.438460
CLB1,SWI4,0.106475
CLB1,YAP1,0.008252
CLB1,YHP1,0.377114
CLB3,DAL82,0.114634
CLB3,YRM1,0.834274
CLB5,MBP1,0.049397
CLB5,SWI4,0.195621
CLB5,SWI6,0.346010
CLN1,TEC1,1.772024
CLN2,STE12,0.532124
CLN2,SWI4,1.375344
CLN3,MCM1,0.550142
CLN3,RAP1,0.425860
CLN3,SWI4,-0.243970
CMD1,CST6,0.572004
CMD1,RPN4,5.277815
CMK2,YAP1,0.646862
CMS1,RAP1,0.706476
COA4,STE12,1.004643
COG2,STE12,0.759076
COG3,STE12,1.293066
COG7,INO4,0.520359
COQ2,HAP1,1.927337
COQ6,MSN2,2.523329
COR1,GCN4,0.053057
COR1,YAP1,0.358837
COS12,RAP1,0.110190
COS12,STE12,0.199582
COS6,ABF1,0.042547
COS6,PDR1,0.121823
COS6,SWI4,0.109102
COS8,RAP1,0.117437
COS8,STE12,0.531279
COT1,AFT1,0.966544
COX11,IFH1,0.136288
COX11,RAP1,0.354861
COX12,CIN5,3.433203
COX13,STE12,3.924262
COX14,AFT1,0.908555
COX15,HAP1,3.845337
COX16,HAP2,1.302257
COX17,GCN4,0.130136
COX20,FHL1,0.824616
COX20,MSN2,0.715968
COX4,ADR1,1.587778
COX6,ABF1,0.378285
COX6,HAP3,0.425327
COX6,HAP5,0.138023
COX7,HAP2,2.693157
COX8,HAP2,4.084375
COX9,HAP2,10.521705
COY1,STE12,1.350904
CPA1,GCN4,0.266401
CPA2,GCN4,0.242381
CPR1,ABF1,14.841234
CPR1,HSF1,17.304250
CPR4,RAP1,0.910798
CPR5,ABF1,6.003085
CPR6,HSF1,1.659764
CPR8,STE12,1.302586
CPR8,SWI4,0.314051
CPS1,GLN3,1.547631
CRH1,ASH1,0.290354
CRH1,SOK2,1.164011
CRH1,TEC1,2.824454
CRM1,STE12,4.469435
CRM1,TEC1,1.043548
CRR1,AFT1,0.153189
CRR1,SUM1,0.064773
CRZ1,PHO4,0.191412
CRZ1,YRM1,0.952328
CSG2,MCM1,0.681930
CSG2,RAP1,0.798093
CSH1,ABF1,0.295025
CSI2,ASH1,0.078637
CSI2,SWI6,0.186177
CSI2,TEC1,0.034298
CSL4,MCM1,1.909476
CSM1,MSN2,0.961780
CSN9,GCR2,0.186666
CSN9,STE12,0.143539
CSR1,ABF1,0.424842
CSR1,AFT1,0.519175
CST6,STE12,1.290488
CTF4,STE12,0.566224
CTH1,SFP1,1.888942
CTK2,MSN2,0.875420
CTR1,MAC1,0.638089
CTR1,MSN2,0.129311
CTR2,MAC1,3.241887
CTS1,ACE2,1.194282
CTS1,FKH1,-2.028533
CTS1,STE12,3.248426
CTS1,SWI5,3.640444
CUE1,DAL82,4.414594
CUE2,SOK2,0.155470
CUE2,YAP1,0.087727
CUE4,ACE2,0.289233
CUE4,MBP1,0.015692
CUE4,SKN7,1.867389
CUR1,YAP1,0.412295
CUS1,ADR1,0.902755
CUS1,TEC1,0.292063
CWC2,YOX1,0.263877
CWH41,STE12,3.288077
CWH43,TEC1,3.037096
CWP1,RAP1,0.187187
CWP1,SWI4,1.345150
CWP1,SWI6,2.183591
CWP1,TEC1,2.078382
CWP2,DAL82,34.128606
CWP2,MBP1,40.082001
CWP2,PDR1,0.303120
CWP2,SKN7,1.778159
CWP2,SOK2,17.971176
CWP2,SWI4,27.537247
CWP2,SWI6,6.523799
CYB2,YRM1,0.752573
CYB5,HAP1,2.370213
CYC1,HAP5,0.454921
CYC1,YAP1,0.231616
CYC3,STE12,0.682451
CYC3,TUP1,1.046706
CYC7,CIN5,0.065154
CYC7,HAP1,0.387730
CYC7,ROX1,0.372161
CYK3,SWI5,2.364768
CYM1,MSN2,2.804248
CYR1,MSN2,1.315458
CYS3,MET28,1.160282
CYS3,YAP1,7.878620
CYS4,YAP1,3.056793
CYT1,CBF1,0.519737
CYT1,HAP3,0.977386
CYT1,STE12,0.537646
CYT2,YAP1,0.315670
DAK1,SKO1,5.645044
DAL2,DAL81,0.345090
DAL2,STE12,0.213609
DAL4,DAL81,0.148459
DAL4,STE12,0.209162
DAL4,TEC1,0.043300
DAL7,HSF1,0.131879
DAL7,LEU3,0.039800
DAL7,RAP1,0.080227
DAL7,TEC1,0.081299
DAL81,ABF1,0.502218
DAP1,CIN5,0.861534
DAP1,YAP1,0.599713
DAP2,RPN4,1.533008
DAS1,MAC1,0.974924
DAS2,BAS1,0.324205
DBF2,YOX1,0.178189
DBF20,GCN4,0.019689
DBP2,AFT1,5.737974
DBP7,STE12,0.895988
DBP8,ASH1,0.050493
DBP8,YAP1,0.314461
DBP9,ABF1,1.268375
DBP9,SWI5,0.649924
DCG1,GLN3,0.645850
DCS1,SPT23,0.852527
DCS2,PDR1,0.029835
DCS2,SOK2,0.144893
DCS2,YAP1,0.080251
DCW1,ABF1,4.343852
DDI1,ASH1,0.004849
DDI1,RPN4,0.777739
DDR2,RAP1,0.174864
DDR2,SOK2,-0.088886
DDR2,YAP1,0.172025
DDR48,SOK2,2.471838
DDR48,TEC1,0.857638
DDR48,YAP1,0.515269
DED81,GCN4,1.100519
DEF1,RPN4,2.616385
DFG10,ABF1,0.251053
DFM1,ABF1,1.092190
DFM1,PHO4,0.245709
DFR1,ABF1,0.635945
DHR2,ABF1,0.477071
DIA1,ABF1,0.182462
DIA1,YAP1,0.126163
DIC1,ADR1,8.980860
DIF1,RAP1,0.661885
DIF1,STE12,0.130171
DIG1,PHD1,0.377739
DIG1,SOK2,0.156160
DIG1,STE12,0.273524
DIN7,MBP1,0.003854
DIN7,SWI6,0.326031
DIP5,ASH1,0.025424
DIP5,PDR1,0.203749
DIP5,ROX1,0.216499
DIP5,SOK2,0.369335
DIP5,STP1,0.663687
DIS3,DAL82,3.716107
DJP1,STE12,0.863605
DLD1,CIN5,0.912919
DLD1,HAP1,1.592690
DLD1,MSN2,0.863902
DLD2,STE12,1.029397
DLD3,RAP1,1.965863
DLD3,SOK2,3.190103
DNM1,RAP1,0.497912
DNM1,YRM1,0.887178
DOA4,MSN2,0.558615
DOG1,ABF1,0.245978
DOM34,MSN2,2.534305
DOS2,DAL82,3.307162
DOT6,ABF1,0.743780
DOT6,MSN2,0.901228
DOT6,SOK2,0.117763
DPB2,MBP1,0.215558
DPL1,MCM1,2.004055
DPL1,STE12,1.764115
DPP1,ABF1,0.050299
DPP1,INO4,1.071196
DPS1,SKN7,16.443256
DRE2,YAP1,0.800810
DRS1,YRM1,2.214025
DRS2,STE12,1.528700
DSE1,ACE2,0.037741
DSE1,CIN5,0.047335
DSE1,STE12,0.461854
DSE2,ACE2,0.735943
DSE2,STE12,0.920111
DSE3,ACE2,1.717212
DSE3,YAP1,-0.239293
DSE4,ACE2,2.393692
DSE4,YOX1,-0.261302
DSF2,STE12,0.401967
DSF2,TEC1,0.204398
DSK2,RPN4,3.955284
DSN1,STE12,0.378326
DSS1,GCN4,0.015004
DSS4,ABF1,0.362835
DUG1,FKH1,5.924675
DUG3,MET32,0.335325
DUG3,RAP1,0.621084
DUN1,SWI6,0.293720
DUR1_2,DAL81,0.836586
DUR1_2,GLN3,0.523372
DUS3,RAP1,1.372568
DUS3,TEC1,0.091953
DYN1,FKH1,1.550212
EAP1,RAP1,0.363645
EAP1,STE12,0.290354
EAR1,RIM101,0.563603
EBP2,ABF1,2.666677
ECI1,OAF1,0.628240
ECL1,HSF1,0.075323
ECL1,SOK2,0.609755
ECM1,ADR1,2.934016
ECM1,YOX1,0.181291
ECM10,STE12,0.415763
ECM11,TEC1,0.611406
ECM22,ABF1,0.222832
ECM22,STE12,0.766145
ECM25,ABF1,0.511173
ECM3,MSN2,0.839511
ECM30,STE12,0.454207
ECM32,ACE2,0.002873
ECM32,GCN4,0.098065
ECM33,RAP1,12.095817
ECM33,STE12,13.406830
ECM33,TEC1,6.220021
ECM38,ASH1,0.058462
ECM38,SWI4,0.077161
ECM38,TUP1,0.027103
ECM38,YAP1,0.369220
ECM4,RGT1,0.072298
